Employee_ID,Name,Dept,Role,Age,MonthlySalary,Attrition_Prob,Risk,Engagement,PerformanceRating,Skill_Gap,Primary_Gap,Recommendation
101,David Williams 1,IT,Cybersecurity Specialist,21,97796,0.0,LOW,65.1,3,"Nmap, Vulnerability Assessment",Nmap,Learn Nmap: Mastering Nmap
102,Anna Dominguez 2,Sales,Sales Executive,56,122052,0.0,LOW,58.6,2,"Client Relationship Management, HubSpot, Negotiation",Client Relationship Management,Learn Client Relationship Management: Mastering Client Relationship Management
103,Manish Badami 3,HR,HR Executive,44,135808,0.1061,LOW,80.1,2,"HR Operations, Payroll Coordination",HR Operations,Learn HR Operations: Mastering HR Operations
104,Riya Mishra 4,Sales,Business Development,47,171311,0.0,LOW,80.0,3,"Partnership Management, Salesforce",Partnership Management,Learn Partnership Management: Mastering Partnership Management
105,Shannon Clark 5,IT,Cybersecurity Specialist,22,126951,0.0,LOW,79.9,3,"SIEM Tools, Vulnerability Assessment",SIEM Tools,Learn SIEM Tools: Mastering SIEM Tools
106,Arjun Rao 6,HR,Employee Relations,51,85886,0.2926,LOW,77.1,3,"Excel, ServiceNow HR",Excel,Learn Excel: Mastering Excel
107,Avani Bhat 7,HR,HR Manager,34,138424,0.0,LOW,83.3,2,"Employee Retention, Excel, HR Compliance",Employee Retention,Learn Employee Retention: Strategic HR Leadership & Talent Retention Strategies
108,Rita Walker 8,Support,Support Engineer,22,139697,0.0059,LOW,88.9,3,"SLA Management, Splunk",SLA Management,Learn SLA Management: Mastering SLA Management
109,Vivaan Gupta 9,Marketing,SEO Analyst,49,131299,0.0,LOW,49.5,3,"Competitor Analysis, Traffic Analysis",Competitor Analysis,Learn Competitor Analysis: Mastering Competitor Analysis
110,Diya Patel 10,Sales,Sales Executive,35,184177,0.0,LOW,43.9,4,"B2B Sales, HubSpot, Lead Generation",B2B Sales,Learn B2B Sales: Mastering B2B Sales
111,Judith Ware 11,HR,HR Executive,32,49497,0.0878,LOW,92.6,2,"Excel, HR Operations",Excel,Learn Excel: Mastering Excel
112,Cody Bright 12,IT,Data Analyst,57,167888,0.0,LOW,55.9,4,"Data Cleaning, Python",Data Cleaning,Learn Data Cleaning: Mastering Data Cleaning
