Employee ID,Name,Department,Job Role,EngagementScore,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility
101,David Williams 1,IT,Cybersecurity Specialist,65.1,60,67.89,79.57,4.6,99.09,48,4.9,24,No
102,Anna Dominguez 2,Sales,Sales Executive,58.6,40,74.9,91.52,4.1,76.78,35,4.3,27,No
103,Manish Badami 3,HR,HR Executive,80.1,40,84.89,84.28,2.6,88.93,39,3.8,6,No
104,Riya Mishra 4,Sales,Business Development,80.0,60,66.8,85.58,4.0,86.57,37,3.9,35,No
105,Shannon Clark 5,IT,Cybersecurity Specialist,79.9,60,89.56,74.5,4.0,95.8,35,3.8,9,No
106,Arjun Rao 6,HR,Employee Relations,77.1,60,74.47,94.74,3.2,97.3,51,3.7,35,No
107,Avani Bhat 7,HR,HR Manager,83.3,40,99.71,91.67,2.8,76.61,54,3.3,82,No
108,Rita Walker 8,Support,Support Engineer,88.9,60,78.69,92.96,4.2,79.41,46,4.1,17,No
109,Vivaan Gupta 9,Marketing,SEO Analyst,49.5,60,95.05,90.71,3.2,79.84,47,3.1,5,No
110,Diya Patel 10,Sales,Sales Executive,43.9,80,89.98,77.39,5.0,80.13,40,4.5,6,No
111,Judith Ware 11,HR,HR Executive,92.6,40,71.89,89.6,4.1,80.81,37,3.8,11,No
112,Cody Bright 12,IT,Data Analyst,55.9,80,64.98,83.74,4.7,86.78,45,4.8,40,No
113,Kabir Mehta 13,Sales,Business Development,59.0,60,79.14,81.26,3.9,77.19,45,3.4,62,No
114,Joel Fuller 14,HR,HR Executive,68.5,60,72.17,91.5,4.4,78.31,44,3.9,24,No
115,Jasmine Gonzalez 15,Sales,Business Development,52.2,60,93.8,99.61,3.9,77.68,45,4.1,80,No
116,Ashley Marsh 16,IT,Tester,67.4,60,75.53,98.45,4.5,87.94,50,3.3,52,No
117,Rohan Pillai 17,Sales,Business Development,60.6,60,75.0,92.36,2.7,83.49,54,4.3,32,No
118,Judith Ware 18,Support,Helpdesk,69.2,40,64.04,87.79,4.4,82.07,44,3.3,72,No
119,Diya Patel 19,Sales,Business Development,75.4,80,82.19,86.49,4.3,77.26,46,4.3,5,No
120,Arjun Rao 20,HR,HR Manager,67.9,40,66.26,81.67,3.8,71.17,53,4.9,61,No
121,Brenda Bauer 21,Sales,Sales Executive,67.3,60,82.42,86.11,3.7,97.05,43,4.4,65,No
122,Aditi Sen 22,Support,Support Engineer,75.1,60,83.8,94.36,3.7,81.69,38,3.7,8,No
123,Megan Williams 23,IT,Developer,84.5,60,70.5,100.0,4.1,100.0,49,4.7,66,No
124,Christopher Benson 24,Sales,Business Development,91.2,80,87.57,82.28,4.6,90.18,41,5.0,15,Yes
125,Cody Bright 25,HR,Employee Relations,69.4,100,75.25,74.03,3.6,98.63,39,4.1,54,No
126,Myra Nair 26,IT,Engineer,93.9,20,63.29,84.28,2.9,91.95,53,3.6,39,No
127,Ishaan Malhotra 27,Marketing,Content Lead,82.5,60,93.45,94.33,5.0,85.27,49,4.0,25,No
128,Kavya Menon 28,Sales,Account Manager,57.2,80,68.77,100.0,4.3,79.22,40,3.3,37,No
129,Erin Massey 29,IT,Tester,56.9,60,83.07,97.17,3.7,76.19,54,4.7,34,No
130,Brenda Bauer 30,IT,Tester,65.1,60,82.26,97.0,4.6,92.96,49,4.2,67,No
131,Meera Das 31,Sales,Account Manager,89.3,100,81.89,82.05,4.5,86.12,51,3.7,58,Yes
132,Clinton Scott 32,Finance,Auditor,66.0,60,81.72,82.25,4.2,88.93,53,4.3,13,No
133,Manish Badami 33,IT,Data Analyst,49.3,40,68.3,78.73,3.6,90.52,37,3.7,46,No
134,Steven Barnett 34,HR,Employee Relations,69.3,80,94.91,83.34,4.3,86.85,52,3.9,70,No
