EmployeeID,Name,Gender,Age,Department,JobRole,EducationLevel,JoiningDate,Country,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,ProjectsHandled,TrainingHours,LastPromotionYear,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,AttritionRisk
101,David Williams 1,Male,21,IT,Cybersecurity Specialist,3,2009-11-10,India,97796,8,27,1,24,2025,15,2.91,3,No
102,Anna Dominguez 2,Male,56,Sales,Sales Executive,5,2011-11-03,Germany,122052,4,11,13,27,2016,13,4.04,2,No
103,Manish Badami 3,Male,44,HR,HR Executive,3,2018-09-14,France,135808,39,18,11,6,2020,6,2.77,2,No
104,Riya Mishra 4,Female,47,Sales,Business Development,2,2010-03-28,France,171311,10,21,14,35,2025,14,4.0,3,No
105,Shannon Clark 5,Female,22,IT,Cybersecurity Specialist,4,2014-12-04,UK,126951,0,27,15,9,2023,10,2.05,3,No
106,Arjun Rao 6,Male,51,HR,Employee Relations,1,2020-10-01,UK,85886,41,9,15,35,2025,4,3.3,3,No
107,Avani Bhat 7,Female,34,HR,HR Manager,1,2022-02-06,France,138424,0,5,10,82,2024,2,3.75,2,No
108,Rita Walker 8,Female,22,Support,Support Engineer,3,2015-12-01,UK,139697,38,27,3,17,2019,9,3.96,3,No
109,Vivaan Gupta 9,Female,49,Marketing,SEO Analyst,5,2009-12-25,UK,131299,4,24,8,5,2020,15,2.75,3,No
110,Diya Patel 10,Male,35,Sales,Sales Executive,2,2022-08-18,Canada,184177,21,8,5,6,2024,2,3.23,4,No
111,Judith Ware 11,Other,32,HR,HR Executive,3,2022-02-24,Germany,49497,25,1,8,11,2025,2,1.66,2,No
112,Cody Bright 12,Male,57,IT,Data Analyst,2,2011-12-27,Canada,167888,5,3,15,40,2018,13,3.09,4,No
113,Kabir Mehta 13,Female,48,Sales,Business Development,3,2012-08-01,India,153915,31,8,2,62,2018,12,4.28,3,No
114,Joel Fuller 14,Female,40,HR,HR Executive,3,2022-05-15,UK,127019,10,14,7,24,2024,2,2.94,3,No
115,Jasmine Gonzalez 15,Male,59,Sales,Business Development,3,2023-11-18,Canada,144017,9,29,9,80,2025,1,2.45,3,No
116,Ashley Marsh 16,Male,44,IT,Tester,2,2011-01-03,Canada,104385,38,12,7,52,2024,13,3.98,3,No
117,Rohan Pillai 17,Female,41,Sales,Business Development,3,2012-03-13,USA,140153,33,19,3,32,2019,12,5.49,3,No
118,Judith Ware 18,Male,30,Support,Helpdesk,5,2012-10-09,Canada,68826,30,7,7,72,2025,12,5.37,2,No
119,Diya Patel 19,Female,34,Sales,Business Development,3,2021-10-01,Canada,145034,11,25,15,5,2024,3,3.46,4,No
120,Arjun Rao 20,Male,57,HR,HR Manager,3,2018-11-02,Germany,119242,15,27,8,61,2022,6,3.97,2,No
121,Brenda Bauer 21,Female,38,Sales,Sales Executive,4,2017-09-14,France,158066,37,18,14,65,2025,7,4.84,3,No
122,Aditi Sen 22,Other,44,Support,Support Engineer,1,2023-05-25,USA,85100,2,18,1,8,2025,1,3.44,3,No
123,Megan Williams 23,Male,34,IT,Developer,3,2010-06-10,USA,160170,1,24,13,66,2024,14,3.66,3,No
124,Christopher Benson 24,Female,54,Sales,Business Development,4,2019-10-19,USA,170431,4,15,13,15,2022,5,2.88,4,No
125,Cody Bright 25,Male,32,HR,Employee Relations,1,2019-08-13,India,131205,10,10,3,54,2025,5,5.57,5,No
126,Myra Nair 26,Female,42,IT,Engineer,3,2023-09-18,USA,47809,24,9,5,39,2025,1,3.92,1,No
127,Ishaan Malhotra 27,Female,26,Marketing,Content Lead,2,2020-09-04,Germany,99450,34,7,12,25,2025,4,2.93,3,No
128,Kavya Menon 28,Female,56,Sales,Account Manager,3,2014-08-05,France,73428,34,0,6,37,2019,10,2.62,4,Yes
129,Erin Massey 29,Male,56,IT,Tester,3,2023-06-20,India,107790,21,9,3,34,2025,1,1.34,3,No
130,Brenda Bauer 30,Female,42,IT,Tester,2,2011-05-28,Germany,146126,36,29,15,67,2020,13,1.62,3,No
131,Meera Das 31,Male,34,Sales,Account Manager,3,2010-01-28,USA,125321,21,17,4,58,2020,14,2.47,5,No
132,Clinton Scott 32,Male,36,Finance,Auditor,2,2009-03-04,France,37093,10,2,5,13,2020,15,4.13,3,No
133,Manish Badami 33,Male,56,IT,Data Analyst,3,2023-01-19,Germany,79498,31,29,15,46,2025,1,3.53,2,No
134,Steven Barnett 34,Female,45,HR,Employee Relations,2,2012-04-14,France,151251,34,10,3,70,2018,12,1.95,4,No
135,Sara Snyder 35,Female,52,IT,Tester,4,2009-09-19,India,75985,30,17,4,71,2021,15,2.27,5,No
136,Pari Joshi 36,Female,53,Sales,Sales Executive,1,2017-11-16,Germany,67009,7,2,5,41,2019,7,3.48,3,No
137,Reyansh Reddy 37,Female,56,Support,Helpdesk,4,2017-03-04,France,163515,19,7,2,50,2024,7,4.87,3,No
138,Kavya Menon 38,Male,40,IT,Developer,3,2021-09-25,Germany,52718,41,26,10,18,2023,3,2.1,4,Yes
139,Rita Walker 39,Other,38,IT,Developer,2,2017-01-15,USA,51705,33,26,9,65,2023,7,3.66,5,No
140,Ishaan Malhotra 40,Female,58,Support,Support Engineer,3,2021-08-26,USA,122618,3,27,10,46,2025,3,2.75,4,No
141,Joel Fuller 41,Male,23,IT,Software Engineer,3,2022-01-02,USA,97598,17,13,8,64,2024,2,2.78,3,No
142,Ayaan Saxena 42,Female,43,IT,Cybersecurity Specialist,3,2014-10-27,India,112878,3,5,12,41,2023,10,2.03,4,No
143,Christopher Benson 43,Female,52,Sales,Business Development,2,2009-05-27,Germany,47239,19,14,6,37,2020,15,3.83,3,No
144,Ishaan Malhotra 44,Male,36,IT,Software Engineer,3,2020-11-14,France,81622,8,13,10,12,2023,4,2.71,2,No
145,Riya Mishra 45,Male,25,Sales,Business Development,2,2010-12-06,France,81665,15,6,11,43,2025,14,2.85,3,No
146,Christopher Benson 46,Male,24,Finance,Accountant,1,2014-02-26,UK,67274,25,9,3,23,2025,10,4.18,3,No
147,Connie Bailey 47,Male,41,Finance,Financial Analyst,3,2021-05-19,Canada,177491,37,14,11,29,2023,3,4.24,4,No
148,Aditi Sen 48,Female,34,Finance,Accountant,1,2012-07-28,USA,143368,24,30,2,69,2022,12,2.47,4,No
149,Riya Mishra 49,Male,59,Marketing,SEO Analyst,2,2017-12-17,USA,181075,3,28,7,37,2020,7,3.5,2,No
150,Brenda Bauer 50,Male,51,Sales,Business Development,1,2012-05-12,USA,143563,40,9,8,22,2024,12,4.11,3,No
151,David Williams 51,Male,34,Marketing,Content Lead,2,2012-03-27,UK,171746,40,21,10,73,2017,12,3.02,3,No
152,Norman Lane 52,Other,26,IT,Tester,2,2023-02-28,UK,128103,37,16,1,56,2025,1,3.87,4,No
153,David Williams 53,Female,32,IT,Engineer,5,2018-12-03,UK,101446,18,26,14,78,2023,6,2.88,1,No
154,Ashley Marsh 54,Male,36,HR,HR Executive,1,2009-10-04,USA,64072,13,18,15,22,2018,15,2.85,3,No
155,Taylor Morris 55,Female,37,Marketing,SEO Specialist,3,2010-11-02,France,68717,20,28,6,35,2023,14,2.27,3,No
156,Riya Mishra 56,Male,43,IT,Tester,2,2022-02-03,USA,152202,14,16,7,56,2025,2,4.91,4,No
157,Jeffery Lopez 57,Male,34,Finance,Accountant,4,2016-02-14,UK,157389,2,11,15,0,2022,8,2.72,3,No
158,Vivaan Gupta 58,Female,27,HR,Recruitment Specialist,1,2010-06-02,UK,144525,36,14,13,71,2021,14,2.4,3,No
159,Peggy Mann 59,Other,52,IT,Engineer,5,2019-01-08,Canada,39646,15,25,9,2,2022,5,2.15,5,No
160,Troy Ford 60,Female,35,IT,Developer,3,2021-10-20,Germany,74713,13,11,12,13,2025,3,3.28,3,No
161,Navya Chopra 61,Female,37,Sales,Sales Executive,1,2014-02-20,Canada,102936,8,24,3,80,2019,10,2.18,2,No
162,Jeffery Lopez 62,Male,54,Sales,Business Development,4,2017-11-18,Canada,57185,6,28,2,33,2021,7,2.49,2,No
163,Arjun Rao 63,Female,25,IT,Cybersecurity Specialist,3,2010-11-16,USA,119263,13,8,5,69,2022,14,4.0,4,No
164,Diya Patel 64,Female,47,IT,Tester,2,2013-05-07,Germany,87107,5,4,13,68,2018,11,3.65,3,No
165,Christopher Benson 65,Male,43,Sales,Business Development,4,2009-06-02,Germany,52563,20,3,15,50,2024,15,1.85,3,No
166,Cody Bright 66,Male,34,IT,Engineer,4,2009-11-13,USA,105729,14,11,10,28,2019,15,3.92,3,No
167,Aarav Sharma 67,Other,35,Sales,Sales Executive,3,2022-04-24,France,50701,7,15,1,81,2025,2,3.23,5,No
168,Arjun Rao 68,Male,53,Sales,Business Development,2,2019-12-16,India,163331,33,8,13,47,2025,5,4.34,3,No
169,Reyansh Reddy 69,Male,51,HR,Employee Relations,4,2013-07-07,USA,134280,39,24,6,78,2018,11,4.62,3,No
170,Christopher Benson 70,Other,55,Marketing,Marketing Executive,3,2016-12-12,France,73665,0,30,9,78,2021,8,1.59,1,No
171,Ananya Singh 71,Male,37,IT,Cybersecurity Specialist,4,2011-04-01,France,50957,31,2,10,15,2020,13,3.96,3,No
172,Sara Snyder 72,Female,48,Marketing,Content Lead,3,2013-07-06,Germany,81008,4,20,15,56,2021,11,4.83,2,No
173,Reyansh Reddy 73,Male,39,Sales,Account Manager,2,2023-08-27,USA,96920,29,2,9,9,2025,1,3.41,4,No
174,Vihaan Verma 74,Female,43,Marketing,SEO Analyst,4,2009-05-24,USA,148828,21,25,7,18,2017,15,3.89,4,No
175,Rita Walker 75,Female,52,Sales,Sales Executive,2,2023-10-27,Germany,158852,19,17,14,66,2025,1,3.42,3,No
176,Meera Das 76,Male,33,IT,Software Engineer,2,2021-08-09,Canada,167698,15,16,11,35,2025,3,4.18,3,No
177,Reyansh Reddy 77,Other,40,IT,Engineer,3,2021-01-03,USA,125815,6,27,7,3,2023,3,3.58,3,No
178,Riya Mishra 78,Female,55,IT,Data Analyst,3,2011-12-12,India,73311,6,9,15,74,2017,13,1.18,3,No
179,Megan Williams 79,Female,25,IT,Engineer,1,2017-11-22,India,67356,1,1,8,32,2021,7,3.08,3,No
180,Megan Williams 80,Male,29,Sales,Business Development,4,2018-04-08,UK,38809,13,23,10,27,2021,6,3.01,5,No
181,Ayaan Saxena 81,Female,49,IT,Cybersecurity Specialist,3,2017-10-14,UK,69875,30,10,14,79,2025,7,3.91,4,No
182,Aditya Kumar 82,Female,26,HR,HR Executive,3,2020-01-12,USA,44465,40,23,2,8,2024,4,4.38,3,No
183,Kabir Mehta 83,Male,45,IT,Engineer,4,2013-05-14,France,108844,13,2,14,74,2021,11,2.97,3,No
