Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,No,Travel_Rarely,1213,Research & Development,25,3,Other,1,101,4,Male,71,3,1,Cybersecurity Specialist,4,Single,8149,9566,9,Y,No,20,3,2,80,0,23,1,3,15,14,0,13
56,No,Travel_Rarely,892,Sales,18,5,Technical Degree,1,102,2,Male,75,2,1,Sales Executive,4,Married,10171,14109,5,Y,No,23,2,2,80,0,18,3,4,13,12,9,11
44,No,Travel_Rarely,151,Research & Development,13,3,Human Resources,1,103,4,Male,32,1,1,HR Executive,1,Married,11317,3442,4,Y,Yes,21,2,2,80,0,13,4,3,6,6,5,5
47,No,Travel_Rarely,919,Sales,17,2,Marketing,1,104,3,Female,86,3,3,Business Development,4,Married,14275,24707,1,Y,No,19,3,3,80,1,16,2,4,14,11,0,12
22,No,Travel_Frequently,1135,Research & Development,8,4,Human Resources,1,105,4,Female,82,3,5,Cybersecurity Specialist,3,Single,10579,5111,6,Y,No,24,3,2,80,0,15,6,2,10,10,2,10
51,No,Travel_Rarely,145,Research & Development,10,1,Medical,1,106,3,Male,91,4,3,Employee Relations,2,Married,7157,16194,4,Y,Yes,25,3,2,80,2,7,1,3,4,4,0,4
34,No,Non-Travel,1415,Research & Development,14,1,Other,1,107,3,Female,42,4,1,HR Manager,3,Divorced,11535,6086,9,Y,No,25,2,3,80,0,9,2,4,2,0,1,2
22,No,Travel_Rarely,236,Research & Development,29,3,Medical,1,108,2,Female,80,4,2,Support Engineer,2,Married,11641,11054,7,Y,Yes,18,3,4,80,0,11,0,4,9,8,6,9
49,No,Travel_Rarely,1220,Research & Development,19,5,Medical,1,109,4,Female,48,2,3,SEO Analyst,1,Married,10941,23593,4,Y,No,13,3,1,80,3,19,6,3,15,13,5,15
35,No,Travel_Frequently,1035,Sales,19,2,Marketing,1,110,2,Male,88,2,5,Sales Executive,2,Divorced,15348,13501,0,Y,Yes,12,4,3,80,0,3,5,3,2,0,1,0
32,No,Travel_Rarely,261,Research & Development,24,3,Human Resources,1,111,3,Other,91,2,1,HR Executive,4,Married,4124,14485,2,Y,Yes,14,2,1,80,1,8,4,2,2,0,0,0
57,No,Travel_Rarely,1211,Research & Development,5,2,Technical Degree,1,112,2,Male,66,2,2,Data Analyst,1,Single,13990,17115,9,Y,No,12,4,1,80,0,21,3,3,13,11,7,11
48,No,Travel_Frequently,1176,Sales,24,3,Human Resources,1,113,2,Female,44,3,2,Business Development,1,Divorced,12826,19006,0,Y,Yes,20,3,3,80,1,16,6,4,12,11,7,10
40,No,Travel_Rarely,208,Research & Development,18,3,Marketing,1,114,3,Female,99,4,2,HR Executive,1,Married,10584,14061,9,Y,No,17,3,2,80,0,10,2,3,2,2,1,1
59,No,Travel_Frequently,144,Sales,10,3,Life Sciences,1,115,3,Male,41,2,2,Business Development,2,Married,12001,24423,4,Y,No,20,3,3,80,2,2,4,2,1,0,0,0
44,No,Travel_Rarely,964,Research & Development,16,2,Life Sciences,1,116,2,Male,79,4,2,Tester,3,Single,8698,7719,5,Y,Yes,16,3,2,80,1,20,2,4,13,12,1,13
41,No,Non-Travel,1284,Sales,25,3,Life Sciences,1,117,4,Female,76,1,1,Business Development,4,Single,11679,13989,6,Y,Yes,11,3,3,80,1,14,0,4,12,12,6,11
30,No,Travel_Rarely,1408,Research & Development,18,5,Technical Degree,1,118,3,Male,45,3,1,Helpdesk,3,Single,5735,17619,4,Y,Yes,12,2,4,80,2,21,1,4,12,11,0,11
34,No,Travel_Frequently,1072,Sales,9,3,Marketing,1,119,3,Female,45,3,2,Business Development,2,Married,12086,25506,4,Y,No,20,4,1,80,0,7,0,3,3,2,1,1
57,No,Travel_Frequently,926,Research & Development,10,3,Marketing,1,120,4,Male,96,2,3,HR Manager,3,Single,9936,14248,5,Y,No,24,2,3,80,1,8,2,4,6,3,3,5
38,No,Travel_Rarely,417,Sales,22,4,Life Sciences,1,121,1,Female,63,3,1,Sales Executive,3,Single,13172,20948,8,Y,Yes,18,3,1,80,0,11,3,4,7,4,0,7
44,No,Travel_Rarely,866,Research & Development,12,1,Marketing,1,122,3,Other,75,2,3,Support Engineer,3,Single,7091,2387,1,Y,No,20,3,3,80,0,5,2,3,1,0,0,0
34,No,Travel_Rarely,1414,Research & Development,28,3,Marketing,1,123,1,Male,93,3,1,Developer,1,Married,13347,18860,5,Y,No,22,3,4,80,0,14,5,4,14,14,1,12
54,No,Travel_Rarely,530,Sales,5,4,Medical,1,124,4,Female,78,3,2,Business Development,2,Married,14202,10328,9,Y,No,18,4,3,80,2,12,6,3,5,5,3,4
32,No,Travel_Rarely,798,Research & Development,15,1,Technical Degree,1,125,4,Male,50,2,5,Employee Relations,2,Divorced,10933,3654,6,Y,No,23,5,2,80,1,11,3,4,5,2,0,4
42,No,Travel_Rarely,485,Research & Development,23,3,Marketing,1,126,4,Female,82,4,3,Engineer,4,Married,3984,8706,3,Y,Yes,16,1,3,80,1,8,3,4,1,0,0,0
26,No,Non-Travel,1117,Research & Development,7,2,Other,1,127,4,Female,91,4,3,Content Lead,4,Divorced,8287,19319,4,Y,Yes,20,3,2,80,3,6,6,3,4,4,0,3
56,Yes,Travel_Rarely,1055,Sales,20,3,Life Sciences,1,128,2,Female,83,2,2,Account Manager,1,Married,6119,26628,6,Y,Yes,20,4,3,80,1,16,2,3,10,10,6,8
56,No,Travel_Rarely,1001,Research & Development,7,3,Human Resources,1,129,2,Male,32,3,1,Tester,2,Married,8982,5271,7,Y,Yes,24,3,4,80,1,7,2,1,1,0,0,0
42,No,Travel_Frequently,636,Research & Development,3,2,Human Resources,1,130,1,Female,82,3,3,Tester,4,Single,12177,15258,2,Y,Yes,17,3,1,80,3,14,3,2,13,12,5,13
34,No,Travel_Rarely,152,Sales,3,3,Technical Degree,1,131,4,Male,41,3,2,Account Manager,4,Married,10443,8113,2,Y,Yes,12,5,3,80,0,16,2,2,14,11,5,14
36,No,Travel_Frequently,1079,Research & Development,7,2,Marketing,1,132,1,Male,67,3,3,Auditor,1,Single,3091,5821,8,Y,No,11,3,2,80,0,20,4,4,15,13,5,13
56,No,Travel_Rarely,479,Research & Development,1,3,Medical,1,133,1,Male,47,1,2,Data Analyst,4,Married,6624,4911,0,Y,Yes,22,2,4,80,1,4,3,4,1,0,0,1
45,No,Travel_Frequently,213,Research & Development,24,2,Marketing,1,134,4,Female,64,4,3,Employee Relations,4,Married,12604,17024,9,Y,Yes,21,4,2,80,1,15,5,2,12,11,7,10
52,No,Travel_Rarely,1067,Research & Development,27,4,Life Sciences,1,135,1,Female,99,2,3,Tester,4,Single,6332,9940,7,Y,Yes,16,5,4,80,0,15,6,2,15,12,4,15
53,No,Travel_Frequently,1093,Sales,18,1,Other,1,136,1,Female,46,1,3,Sales Executive,4,Married,5584,26095,4,Y,No,23,3,3,80,0,14,3,3,7,6,6,7
56,No,Travel_Rarely,959,Research & Development,1,4,Marketing,1,137,1,Female,50,3,2,Helpdesk,3,Divorced,13626,18192,2,Y,No,20,3,1,80,0,8,2,4,7,4,1,6
40,Yes,Travel_Frequently,1435,Research & Development,6,3,Human Resources,1,138,1,Male,99,3,2,Developer,1,Single,4393,3733,6,Y,Yes,21,4,3,80,2,8,0,2,3,2,2,1
38,No,Non-Travel,357,Research & Development,20,2,Human Resources,1,139,2,Other,76,4,4,Developer,1,Single,4308,20406,3,Y,Yes,13,5,2,80,2,16,4,4,7,5,2,7
58,No,Travel_Frequently,244,Research & Development,7,3,Technical Degree,1,140,1,Female,66,3,1,Support Engineer,3,Married,10218,10344,5,Y,No,11,4,4,80,0,12,2,3,3,3,0,3
23,No,Travel_Frequently,602,Research & Development,12,3,Other,1,141,4,Male,83,2,1,Software Engineer,4,Married,8133,18282,4,Y,No,11,3,3,80,1,2,1,3,2,0,1,1
43,No,Travel_Rarely,1093,Research & Development,3,3,Life Sciences,1,142,1,Female,44,4,1,Cybersecurity Specialist,2,Married,9406,4413,6,Y,No,25,4,4,80,1,10,4,2,10,10,2,10
52,No,Travel_Rarely,1022,Sales,27,2,Technical Degree,1,143,4,Female,40,2,1,Business Development,4,Single,3936,2077,6,Y,No,24,3,2,80,0,24,1,4,15,13,5,15
36,No,Travel_Rarely,959,Research & Development,2,3,Marketing,1,144,4,Male,38,4,2,Software Engineer,3,Single,6801,23103,2,Y,No,13,2,4,80,2,5,6,3,4,3,2,4
